FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0001,S0012,3,27/7/2024 10:42,27/7/2024 13:42
FS0001,S0010,8,4/9/2022 20:19,5/9/2022 4:19
FS0001,S0013,5,11/9/2023 13:12,11/9/2023 18:12
FS0001,S0019,9,29/11/2022 13:18,29/11/2022 22:18
FS0001,S0008,4,3/3/2024 0:26,3/3/2024 4:26
FS0001,S0005,4,7/11/2022 22:55,8/11/2022 2:55
FS0002,S0019,10,25/5/2024 20:58,26/5/2024 6:58
FS0002,S0003,4,6/3/2023 9:05,6/3/2023 13:05
FS0002,S0005,10,30/12/2022 16:49,31/12/2022 2:49
FS0002,S0013,7,29/1/2024 8:45,29/1/2024 15:45
FS0002,S0006,8,15/11/2022 9:01,15/11/2022 17:01
FS0002,S0017,4,29/4/2022 3:24,29/4/2022 7:24
FS0003,S0003,4,16/11/2023 1:17,16/11/2023 5:17
FS0003,S0013,3,1/2/2022 17:24,1/2/2022 20:24
FS0003,S0002,10,15/10/2023 21:08,16/10/2023 7:08
FS0003,S0016,7,5/2/2023 22:31,6/2/2023 5:31
FS0003,S0006,9,15/5/2022 5:18,15/5/2022 14:18
FS0003,S0012,1,19/6/2023 22:45,19/6/2023 23:45
FS0004,S0017,2,29/8/2023 4:42,29/8/2023 6:42
FS0004,S0006,10,9/5/2024 3:05,9/5/2024 13:05
FS0004,S0009,4,2/4/2024 10:22,2/4/2024 14:22
FS0004,S0013,5,3/6/2023 20:56,4/6/2023 1:56
FS0004,S0012,10,24/3/2023 6:59,24/3/2023 16:59
FS0004,S0007,4,3/8/2022 8:11,3/8/2022 12:11
FS0005,S0003,5,3/3/2024 12:59,3/3/2024 17:59
FS0005,S0009,1,10/3/2022 10:51,10/3/2022 11:51
FS0005,S0015,9,2/12/2023 4:31,2/12/2023 13:31
FS0005,S0018,6,12/7/2024 5:08,12/7/2024 11:08
FS0005,S0011,10,12/5/2023 7:11,12/5/2023 17:11
FS0005,S0012,5,11/5/2024 21:36,12/5/2024 2:36
FS0006,S0018,7,4/2/2023 17:08,5/2/2023 0:08
FS0006,S0012,9,15/7/2023 12:28,15/7/2023 21:28
FS0006,S0020,4,11/8/2024 23:01,12/8/2024 3:01
FS0006,S0002,7,7/7/2024 20:37,8/7/2024 3:37
FS0006,S0014,4,23/2/2022 23:31,24/2/2022 3:31
FS0006,S0009,10,17/1/2022 7:38,17/1/2022 17:38
FS0007,S0002,10,15/9/2022 12:22,15/9/2022 22:22
FS0007,S0007,4,8/5/2022 19:15,8/5/2022 23:15
FS0007,S0014,1,22/3/2023 8:35,22/3/2023 9:35
FS0007,S0012,2,24/1/2023 7:15,24/1/2023 9:15
FS0007,S0011,3,18/3/2023 12:22,18/3/2023 15:22
FS0007,S0017,9,25/9/2023 22:49,26/9/2023 7:49
FS0008,S0020,5,31/5/2024 11:39,31/5/2024 16:39
FS0008,S0007,4,26/5/2023 7:03,26/5/2023 11:03
FS0008,S0003,1,19/1/2023 0:09,19/1/2023 1:09
FS0008,S0001,7,18/11/2023 2:23,18/11/2023 9:23
FS0008,S0008,5,5/4/2023 10:30,5/4/2023 15:30
FS0008,S0005,9,24/4/2024 11:30,24/4/2024 20:30
FS0009,S0015,6,8/1/2022 13:08,8/1/2022 19:08
FS0009,S0002,2,7/4/2024 20:16,7/4/2024 22:16
FS0009,S0003,10,25/12/2023 5:23,25/12/2023 15:23
FS0009,S0019,10,3/10/2022 20:43,4/10/2022 6:43
FS0009,S0005,9,23/10/2023 1:30,23/10/2023 10:30
FS0009,S0017,7,11/4/2024 0:44,11/4/2024 7:44
FS0010,S0004,3,10/4/2022 9:10,10/4/2022 12:10
FS0010,S0003,8,17/6/2023 7:46,17/6/2023 15:46
FS0010,S0012,5,18/3/2022 16:22,18/3/2022 21:22
FS0010,S0005,7,27/10/2023 12:19,27/10/2023 19:19
FS0010,S0009,1,2/5/2023 21:00,2/5/2023 22:00
FS0010,S0015,6,5/8/2023 10:10,5/8/2023 16:10
FS0011,S0002,5,31/1/2022 6:54,31/1/2022 11:54
FS0011,S0018,6,4/5/2022 6:15,4/5/2022 12:15
FS0011,S0010,1,18/7/2024 22:05,18/7/2024 23:05
FS0011,S0009,7,11/12/2023 10:23,11/12/2023 17:23
FS0011,S0019,8,26/8/2024 19:09,27/8/2024 3:09
FS0011,S0011,1,9/2/2024 14:59,9/2/2024 15:59
FS0012,S0018,6,8/3/2024 19:58,9/3/2024 1:58
FS0012,S0012,9,25/6/2024 3:06,25/6/2024 12:06
FS0012,S0004,4,5/4/2023 15:55,5/4/2023 19:55
FS0012,S0006,10,30/1/2024 23:55,31/1/2024 9:55
FS0012,S0002,9,22/12/2023 9:19,22/12/2023 18:19
