DELETE FROM StaffSchedule;

INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0001', '6', '30/06/2023', '30/06/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0002', '7', '26/02/2023', '26/02/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0003', '7', '22/03/2022', '22/03/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0004', '6', '18/11/2022', '18/11/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0005', '6', '18/10/2023', '18/10/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0006', '1', '17/02/2024', '17/02/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0007', '4', '14/06/2024', '14/06/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0008', '10', '31/05/2022', '31/05/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0009', '9', '26/04/2024', '26/04/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0010', '6', '25/02/2023', '25/02/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0011', '5', '30/01/2023', '30/01/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0012', '8', '11/06/2024', '11/06/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0013', '1', '04/04/2022', '04/04/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0014', '2', '05/03/2023', '05/03/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0015', '7', '05/08/2023', '05/08/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0016', '5', '21/11/2023', '21/11/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0017', '6', '10/12/2023', '10/12/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0018', '1', '20/07/2023', '20/07/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0019', '8', '18/04/2022', '18/04/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0001', 'S0020', '8', '30/05/2023', '30/05/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0001', '4', '23/09/2022', '23/09/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0002', '6', '13/01/2022', '13/01/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0003', '5', '28/04/2023', '28/04/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0004', '10', '04/12/2023', '04/12/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0005', '1', '10/10/2023', '10/10/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0006', '1', '06/10/2022', '06/10/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0007', '7', '06/07/2024', '06/07/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0008', '4', '13/08/2022', '13/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0009', '6', '15/11/2022', '15/11/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0010', '7', '12/01/2024', '12/01/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0011', '7', '26/04/2022', '26/04/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0012', '3', '14/12/2023', '14/12/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0013', '5', '25/11/2022', '25/11/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0014', '1', '03/12/2023', '03/12/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0015', '10', '22/06/2024', '22/06/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0016', '8', '12/09/2023', '12/09/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0017', '6', '04/06/2024', '04/06/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0018', '4', '15/05/2024', '15/05/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0019', '8', '29/04/2023', '29/04/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0002', 'S0020', '6', '05/08/2022', '05/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0001', '4', '30/08/2022', '30/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0002', '3', '09/12/2022', '09/12/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0003', '3', '10/02/2024', '10/02/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0004', '4', '19/04/2023', '19/04/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0005', '3', '06/03/2023', '06/03/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0006', '8', '24/09/2022', '24/09/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0007', '4', '23/12/2022', '23/12/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0008', '3', '03/01/2023', '03/01/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0009', '6', '22/12/2022', '22/12/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0010', '9', '15/05/2024', '15/05/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0011', '3', '04/07/2024', '04/07/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0012', '10', '18/08/2022', '18/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0013', '3', '21/01/2022', '21/01/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0014', '7', '24/04/2024', '24/04/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0015', '6', '10/08/2022', '10/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0016', '8', '25/01/2024', '25/01/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0017', '1', '07/03/2023', '07/03/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0018', '2', '29/01/2024', '29/01/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0019', '8', '09/03/2024', '09/03/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0003', 'S0020', '3', '14/08/2022', '14/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0001', '2', '10/03/2024', '10/03/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0002', '7', '07/08/2022', '07/08/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0003', '7', '22/01/2024', '22/01/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0004', '10', '08/06/2022', '08/06/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0005', '3', '04/01/2023', '04/01/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0006', '2', '18/05/2022', '18/05/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0007', '9', '27/06/2022', '27/06/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0008', '1', '21/11/2022', '21/11/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0009', '4', '06/05/2023', '06/05/2023');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0010', '10', '24/08/2024', '24/08/2024');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0011', '1', '15/10/2022', '15/10/2022');
INSERT INTO StaffSchedule (FlightScheduleID, StaffID, WorkingHours, CheckIn, CheckOut) VALUES ('FS0004', 'S0012', '6', '01/10/2022', '01/10/2022');
