FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0181,S0001,4,5/7/2024 3:35,5/7/2024 7:35
FS0181,S0002,5,2/1/2025 11:44,2/1/2025 16:44
FS0181,S0003,4,29/3/2025 14:24,29/3/2025 18:24
FS0181,S0004,4,7/8/2024 15:12,7/8/2024 19:12
FS0181,S0005,5,8/3/2024 15:07,8/3/2024 20:07
FS0181,S0006,6,14/9/2024 12:16,14/9/2024 18:16
FS0181,S0007,10,4/9/2025 10:51,4/9/2025 20:51
FS0181,S0008,10,24/5/2025 6:33,24/5/2025 16:33
FS0181,S0009,2,14/11/2024 17:20,14/11/2024 19:20
FS0181,S0010,2,28/5/2025 3:27,28/5/2025 5:27
FS0181,S0011,8,25/9/2023 0:53,25/9/2023 8:53
FS0181,S0012,3,20/12/2023 19:22,20/12/2023 22:22
FS0181,S0013,5,18/1/2024 5:24,18/1/2024 10:24
FS0181,S0014,2,13/9/2024 6:52,13/9/2024 8:52
FS0181,S0015,8,2/8/2024 22:56,3/8/2024 6:56
FS0181,S0016,3,24/11/2023 10:47,24/11/2023 13:47
FS0181,S0017,2,14/7/2024 12:31,14/7/2024 14:31
FS0181,S0018,3,11/6/2024 19:41,11/6/2024 22:41
FS0181,S0019,8,20/6/2024 21:57,21/6/2024 5:57
FS0181,S0020,8,23/7/2024 23:37,24/7/2024 7:37
FS0182,S0001,5,23/12/2024 10:48,23/12/2024 15:48
FS0182,S0002,6,27/7/2024 15:33,27/7/2024 21:33
FS0182,S0003,6,1/7/2024 16:30,1/7/2024 22:30
FS0182,S0004,2,6/5/2024 9:27,6/5/2024 11:27
FS0182,S0005,2,6/11/2024 8:33,6/11/2024 10:33
FS0182,S0006,4,26/9/2025 11:11,26/9/2025 15:11
FS0182,S0007,1,4/11/2025 19:49,4/11/2025 20:49
FS0182,S0008,5,2/3/2024 15:43,2/3/2024 20:43
FS0182,S0009,5,2/4/2025 13:43,2/4/2025 18:43
FS0182,S0010,7,25/12/2024 1:31,25/12/2024 8:31
