FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0001,S0012,3,7/27/2024 10:42,7/27/2024 13:42
FS0001,S0010,8,9/4/2022 20:19,9/5/2022 4:19
FS0001,S0013,5,9/11/2023 13:12,9/11/2023 18:12
FS0001,S0019,9,11/29/2022 13:18,11/29/2022 22:18
FS0001,S0008,4,3/3/2024 0:26,3/3/2024 4:26
FS0001,S0005,4,11/7/2022 22:55,11/8/2022 2:55
FS0002,S0019,10,5/25/2024 20:58,5/26/2024 6:58
FS0002,S0003,4,3/6/2023 9:05,3/6/2023 13:05
FS0002,S0005,10,12/30/2022 16:49,12/31/2022 2:49
FS0002,S0013,7,1/29/2024 8:45,1/29/2024 15:45
FS0002,S0006,8,11/15/2022 9:01,11/15/2022 17:01
FS0002,S0017,4,4/29/2022 3:24,4/29/2022 7:24
FS0003,S0003,4,11/16/2023 1:17,11/16/2023 5:17
FS0003,S0013,3,2/1/2022 17:24,2/1/2022 20:24
FS0003,S0002,10,10/15/2023 21:08,10/16/2023 7:08
FS0003,S0016,7,2/5/2023 22:31,2/6/2023 5:31
FS0003,S0006,9,5/15/2022 5:18,5/15/2022 14:18
FS0003,S0012,1,6/19/2023 22:45,6/19/2023 23:45
FS0004,S0017,2,8/29/2023 4:42,8/29/2023 6:42
FS0004,S0006,10,5/9/2024 3:05,5/9/2024 13:05
FS0004,S0009,4,4/2/2024 10:22,4/2/2024 14:22
FS0004,S0013,5,6/3/2023 20:56,6/4/2023 1:56
FS0004,S0012,10,3/24/2023 6:59,3/24/2023 16:59
FS0004,S0007,4,8/3/2022 8:11,8/3/2022 12:11
FS0005,S0003,5,3/3/2024 12:59,3/3/2024 17:59
FS0005,S0009,1,3/10/2022 10:51,3/10/2022 11:51
FS0005,S0015,9,12/2/2023 4:31,12/2/2023 13:31
FS0005,S0018,6,7/12/2024 5:08,7/12/2024 11:08
FS0005,S0011,10,5/12/2023 7:11,5/12/2023 17:11
FS0005,S0012,5,5/11/2024 21:36,5/12/2024 2:36
FS0006,S0018,7,2/4/2023 17:08,2/5/2023 0:08
FS0006,S0012,9,7/15/2023 12:28,7/15/2023 21:28
FS0006,S0020,4,8/11/2024 23:01,8/12/2024 3:01
FS0006,S0002,7,7/7/2024 20:37,7/8/2024 3:37
FS0006,S0014,4,2/23/2022 23:31,2/24/2022 3:31
FS0006,S0009,10,1/17/2022 7:38,1/17/2022 17:38
FS0007,S0002,10,9/15/2022 12:22,9/15/2022 22:22
FS0007,S0007,4,5/8/2022 19:15,5/8/2022 23:15
FS0007,S0014,1,3/22/2023 8:35,3/22/2023 9:35
FS0007,S0012,2,1/24/2023 7:15,1/24/2023 9:15
FS0007,S0011,3,3/18/2023 12:22,3/18/2023 15:22
FS0007,S0017,9,9/25/2023 22:49,9/26/2023 7:49
FS0008,S0020,5,5/31/2024 11:39,5/31/2024 16:39
FS0008,S0007,4,5/26/2023 7:03,5/26/2023 11:03
FS0008,S0003,1,1/19/2023 0:09,1/19/2023 1:09
FS0008,S0001,7,11/18/2023 2:23,11/18/2023 9:23
FS0008,S0008,5,4/5/2023 10:30,4/5/2023 15:30
FS0008,S0005,9,4/24/2024 11:30,4/24/2024 20:30
FS0009,S0015,6,1/8/2022 13:08,1/8/2022 19:08
FS0009,S0002,2,4/7/2024 20:16,4/7/2024 22:16
